cpu_usage,memory_usage,error_rate,latency_p99,disk_usage,network_in,pod_restarts,hour_of_day,severity
7.97,16.09,4.125,322.7,57.14,27.23,0,19,0
33.05,66.73,0.072,37.1,38.29,71.04,4,11,1
22.61,36.19,0.007,105.1,42.04,52.42,0,4,0
43.72,19.03,1.294,9.8,47.42,64.2,2,9,0
4.44,59.6,5.16,163.1,36.86,26.98,1,9,1
28.15,46.73,1.871,227.4,59.82,63.79,2,13,0
52.03,10.47,0.972,155.1,43.79,160.16,1,11,0
37.18,71.3,4.007,153.5,34.0,1.41,0,11,0
24.64,25.93,0.417,56.4,17.93,74.04,2,11,0
19.83,25.04,0.671,187.2,20.23,22.84,0,4,0
53.58,78.2,0.312,80.0,22.99,42.33,2,22,0
5.55,23.74,1.381,25.3,55.92,96.93,1,11,0
31.74,15.79,1.386,15.7,29.25,121.29,5,2,1
38.94,32.35,0.958,77.4,42.02,6.63,3,10,0
39.11,23.14,0.695,142.3,25.56,40.65,0,15,0
18.89,17.23,0.713,124.2,64.9,136.82,0,13,0
19.25,40.65,0.986,32.2,13.2,89.02,1,9,0
62.36,70.06,5.434,37.3,44.23,4.02,0,6,1
13.66,17.74,2.748,194.5,18.32,61.04,1,12,0
23.39,59.34,0.503,88.1,50.16,3.93,2,7,0
20.25,74.62,6.619,92.0,75.21,72.93,0,1,1
18.09,5.22,3.342,45.8,50.33,14.25,0,20,0
23.99,18.19,0.186,160.1,57.28,67.91,0,3,0
10.73,42.29,1.308,17.3,26.31,0.96,0,0,0
36.32,29.03,1.907,64.5,45.99,36.85,0,20,0
12.21,17.91,2.15,41.4,32.58,40.87,0,7,0
17.07,49.78,0.031,12.0,49.63,7.45,1,11,0
32.04,24.04,2.69,53.3,37.5,4.09,0,15,0
30.1,58.31,3.619,12.9,69.12,216.19,0,6,0
18.19,35.9,1.619,212.9,61.99,284.32,1,21,0
23.96,11.54,2.42,121.7,70.96,25.29,0,18,0
40.8,24.63,0.214,245.2,64.41,24.74,1,2,0
5.62,52.16,0.699,40.2,34.21,12.58,1,19,0
42.31,69.36,0.436,491.7,46.03,60.8,0,13,0
33.81,12.85,10.202,24.8,27.93,55.8,0,14,1
14.33,83.9,0.995,16.5,58.91,23.84,1,15,1
25.38,60.67,0.285,290.5,49.78,115.64,0,9,0
22.72,47.19,0.078,110.8,37.23,19.05,1,14,0
14.91,54.07,3.359,540.4,58.56,45.11,0,16,1
56.99,51.07,0.876,22.4,29.92,19.7,0,9,0
9.85,34.64,1.048,163.9,39.37,19.04,2,1,0
31.48,31.64,3.114,373.1,44.87,100.98,1,0,0
27.67,18.77,0.608,98.3,26.87,16.98,1,14,0
33.68,74.37,1.461,23.7,42.39,3.85,2,20,0
23.75,32.19,0.212,11.6,26.96,18.45,0,3,0
69.74,28.67,2.429,205.5,63.0,32.8,0,22,0
33.04,60.11,2.985,69.4,14.95,44.59,0,11,0
40.58,24.7,1.532,71.3,17.16,13.83,0,3,0
32.21,46.06,0.022,52.6,49.8,48.58,0,7,0
11.69,38.72,2.702,47.6,73.6,35.94,2,16,0
34.51,41.56,2.527,35.9,58.16,56.74,0,10,0
15.91,12.86,0.676,71.7,13.39,46.3,0,15,0
28.06,52.91,8.957,59.4,48.03,62.37,1,16,1
4.18,70.54,0.832,16.4,34.85,0.11,2,8,0
83.34,63.54,0.435,90.9,46.59,4.05,0,3,1
38.89,41.27,3.27,408.1,45.73,58.73,1,5,0
25.14,25.88,0.405,192.6,7.72,33.24,0,0,0
27.76,34.59,6.447,51.0,20.37,13.56,1,16,1
33.28,67.67,1.026,8.4,25.84,17.31,0,13,0
81.97,40.23,1.995,27.5,35.9,47.97,1,4,1
25.93,74.43,0.866,253.7,73.72,40.07,1,12,0
24.68,28.65,0.324,14.5,28.23,18.43,0,17,0
37.81,18.2,4.377,25.7,51.35,39.49,0,5,0
45.53,52.75,0.112,17.2,63.78,95.2,3,12,0
24.68,42.65,5.527,278.6,36.88,62.66,0,9,1
11.55,30.36,0.057,19.2,27.86,22.96,0,12,0
37.69,73.53,2.204,23.6,57.32,36.16,0,8,0
13.06,74.66,0.58,381.2,42.14,17.75,1,4,0
51.11,6.92,1.137,315.1,25.86,65.15,1,13,0
37.25,81.96,3.65,207.9,53.93,2.21,1,17,1
42.76,68.28,0.286,53.9,45.9,14.76,1,13,0
4.44,18.7,0.45,296.3,27.29,31.94,0,13,0
35.71,12.42,4.337,86.8,28.08,142.3,0,4,0
23.56,6.18,1.959,29.1,38.48,60.89,0,7,0
11.59,55.43,0.505,251.1,49.77,83.15,1,13,0
39.92,85.93,0.055,11.7,29.75,194.86,0,4,1
21.35,31.32,4.315,112.0,55.25,8.36,2,11,0
19.97,36.59,6.752,79.0,59.02,104.88,1,11,1
7.91,29.77,0.941,43.1,78.35,157.51,0,14,0
7.28,21.5,3.593,214.1,36.01,11.47,1,0,0
8.46,36.57,0.704,162.3,32.55,15.54,1,6,0
26.47,37.98,4.135,36.9,42.12,50.31,1,18,0
7.67,63.35,0.304,93.6,28.29,30.25,1,1,0
23.46,56.02,4.763,21.9,62.85,14.84,1,4,0
17.61,30.68,0.432,192.8,58.04,106.69,0,15,0
38.78,65.1,0.116,63.1,26.57,24.1,1,12,0
30.91,55.8,0.509,79.3,80.36,48.78,1,10,0
4.87,19.67,3.617,256.0,33.17,29.81,2,1,0
22.44,64.25,1.492,35.2,37.64,7.4,0,5,0
8.02,3.45,0.8,24.1,21.35,203.93,1,0,0
12.36,48.32,0.07,37.8,35.63,113.24,2,22,0
54.41,29.53,5.173,85.6,40.86,14.55,2,15,1
21.68,42.51,0.54,14.0,70.57,53.23,0,5,0
21.97,75.8,0.78,48.2,8.82,8.47,1,14,0
20.75,59.92,3.362,117.9,50.46,28.18,1,20,0
26.15,29.95,4.283,68.9,55.67,32.28,0,7,0
37.46,48.84,0.495,362.8,59.85,26.49,1,3,0
45.85,13.14,0.869,125.3,45.24,101.93,2,4,0
11.58,52.38,0.473,119.8,42.44,88.22,3,4,0
27.75,58.5,1.834,55.5,62.75,13.36,1,3,0
28.06,27.06,0.498,106.3,12.65,79.05,0,14,0
41.73,15.28,2.117,56.3,65.99,33.79,0,6,0
22.66,42.19,2.86,28.3,21.02,36.44,0,16,0
40.54,66.83,1.336,46.3,40.28,21.53,0,19,0
40.07,18.09,1.191,124.8,4.92,3.92,2,2,0
39.61,28.56,5.235,74.2,54.21,209.17,1,2,1
45.52,18.57,1.133,25.0,32.35,189.84,1,0,0
54.45,41.61,5.624,42.6,22.91,142.75,1,4,1
49.56,16.84,0.645,70.2,40.13,18.02,0,12,0
47.32,71.48,0.428,15.0,21.87,3.41,0,2,0
19.26,59.22,2.577,30.6,28.66,13.37,0,7,0
9.33,86.32,2.133,276.3,48.52,58.39,0,11,1
20.78,48.98,0.858,43.5,59.32,1.7,0,2,0
15.91,8.67,0.509,241.4,7.19,112.58,0,16,0
9.79,44.33,4.159,10.5,79.44,65.02,1,9,0
12.02,29.26,4.282,95.8,17.1,20.33,3,12,0
21.5,13.86,0.542,11.1,18.81,34.91,1,23,0
40.95,67.83,2.214,52.8,61.6,64.95,2,21,0
30.39,54.06,3.831,97.4,29.88,165.11,1,20,0
16.12,17.02,2.152,9.4,79.63,24.6,0,16,0
10.45,46.97,0.355,27.4,33.43,97.73,2,16,0
39.33,73.06,1.468,133.4,45.58,60.62,0,13,0
38.34,16.41,3.784,15.4,47.22,36.77,1,12,0
35.88,48.13,1.629,48.7,32.43,84.29,1,19,0
22.69,33.67,3.093,80.6,47.75,7.17,1,20,0
35.01,25.58,0.191,15.3,33.03,4.61,0,6,0
22.88,74.55,0.082,98.0,39.71,125.06,3,5,0
35.79,35.38,4.013,13.0,24.48,4.71,1,23,0
23.37,54.3,1.824,127.9,23.09,4.58,0,5,0
30.57,29.88,0.032,6.5,37.76,46.59,1,10,0
21.82,59.3,2.651,66.8,63.41,31.45,1,17,0
8.97,51.19,0.407,62.5,85.94,3.36,2,16,0
2.83,22.9,2.696,103.7,19.39,32.38,0,12,0
24.39,9.07,1.379,81.2,82.65,2.03,0,21,0
9.74,51.29,1.762,124.0,33.25,93.83,2,0,0
16.02,58.23,1.46,44.3,31.82,22.15,3,2,0
21.37,47.9,1.556,116.9,46.45,47.39,0,6,0
36.83,51.71,0.156,56.4,47.95,47.33,1,16,0
42.36,39.21,0.696,130.2,29.84,33.67,0,19,0
3.9,29.85,1.092,26.0,55.33,73.94,4,4,1
34.77,86.63,1.656,31.9,27.67,18.52,0,22,1
7.74,66.11,1.866,57.9,37.88,76.93,1,8,0
40.46,4.64,0.344,48.9,56.22,10.62,1,1,0
13.24,28.42,2.289,7.9,19.9,18.14,0,11,0
18.69,29.62,3.026,146.8,51.3,20.31,2,22,0
4.1,18.41,1.017,43.0,47.55,8.6,0,3,0
6.8,45.28,4.174,108.7,63.39,21.2,1,0,0
48.54,43.53,1.982,152.1,43.07,19.67,1,12,0
25.81,83.86,5.932,5.7,46.23,13.76,3,19,1
9.62,88.04,0.328,242.0,72.35,98.98,2,5,1
17.82,85.9,1.204,46.9,34.32,20.47,0,17,1
32.87,36.72,0.294,8.5,14.59,33.0,1,22,0
30.01,41.2,0.217,513.9,49.59,2.72,0,1,1
17.15,0.11,0.656,24.7,70.83,8.27,1,8,0
47.2,29.43,0.887,24.8,63.44,38.3,2,22,0
29.13,58.96,5.47,43.8,23.8,72.33,0,22,1
80.63,13.45,1.607,636.7,63.53,41.52,3,1,1
64.89,15.26,4.995,113.6,25.08,59.53,1,0,0
34.48,20.51,0.13,555.9,37.57,29.7,0,22,1
34.5,68.05,5.384,112.7,44.46,51.37,2,2,1
22.22,52.92,2.203,125.2,19.41,14.18,5,22,1
14.05,21.76,0.598,51.2,60.9,14.57,1,20,0
23.1,85.98,2.603,237.8,22.15,9.27,1,17,1
50.99,72.08,0.77,283.4,15.51,44.54,1,15,0
61.01,41.46,3.147,7.0,54.34,19.25,1,11,0
21.49,24.93,0.052,33.6,31.95,26.03,1,2,0
31.2,46.85,0.825,67.0,33.28,89.37,1,3,0
17.02,64.68,5.645,116.7,32.53,142.65,0,7,1
64.36,29.9,0.385,152.0,25.21,40.53,0,21,0
5.87,28.15,2.463,150.4,57.42,128.1,0,5,0
6.85,22.58,1.105,24.1,73.01,64.69,2,14,0
62.3,48.3,2.053,339.4,60.41,40.72,1,9,0
51.67,41.74,1.15,50.3,49.35,83.42,2,15,0
6.57,38.61,2.363,107.1,15.61,96.2,1,9,0
25.21,26.15,0.504,63.1,27.81,45.52,0,7,0
15.61,54.8,1.597,358.9,21.88,43.53,2,22,0
17.82,38.93,3.361,57.5,28.77,8.47,3,21,0
29.51,54.47,4.573,21.0,42.22,8.97,1,22,0
22.32,34.2,4.006,33.5,36.21,29.55,1,21,0
24.67,45.01,0.966,147.8,50.21,78.87,2,21,0
7.33,29.83,0.352,125.5,27.16,34.69,0,3,0
26.14,22.48,0.951,36.2,30.08,7.57,3,2,0
29.04,31.77,1.673,189.2,38.7,177.61,1,15,0
35.39,39.11,0.408,135.0,31.23,36.2,1,15,0
36.63,20.76,0.597,97.0,26.02,59.12,0,18,0
11.19,35.83,2.289,112.3,41.02,19.69,2,21,0
14.45,24.54,0.15,26.4,63.63,52.16,1,1,0
29.3,3.45,0.201,27.3,30.56,9.81,0,15,0
8.92,38.47,0.359,32.5,67.8,34.87,0,5,0
34.93,57.13,2.352,21.7,37.63,21.06,1,5,0
52.41,12.59,0.474,22.1,60.21,19.99,1,16,0
35.48,17.22,0.066,102.5,37.15,80.93,2,7,0
30.65,44.45,0.491,80.6,65.47,182.79,1,15,0
58.35,16.94,8.681,81.6,32.38,21.65,3,4,1
50.13,26.8,1.393,56.4,14.26,44.56,0,18,0
11.24,21.66,6.55,60.8,39.4,10.58,0,13,1
43.92,52.72,0.284,32.8,27.35,7.59,1,4,0
11.97,54.67,0.052,105.1,54.28,1.0,0,7,0
1.82,15.17,4.43,18.4,42.96,93.75,1,3,0
10.61,26.23,0.936,90.0,27.44,80.06,2,18,0
20.58,6.68,0.491,39.0,37.24,109.87,0,4,0
33.85,15.8,0.187,21.9,72.29,21.77,1,9,0
54.12,35.91,3.252,92.6,28.13,34.9,1,8,0
25.56,29.74,0.773,164.4,25.15,55.25,1,22,0
9.02,14.32,1.952,44.9,17.3,41.66,1,3,0
15.63,23.92,0.776,55.5,41.11,83.03,2,19,0
15.63,28.24,0.547,24.0,32.02,210.04,3,5,0
24.43,49.96,2.84,41.8,39.11,6.72,0,7,0
22.83,62.12,1.102,44.2,23.62,4.53,2,6,0
13.6,31.3,5.738,371.0,33.9,48.15,0,5,1
20.85,69.68,0.215,10.6,39.25,19.87,2,11,0
44.44,68.66,0.851,85.6,23.1,71.13,0,22,0
18.37,7.39,0.342,103.0,34.08,4.09,2,17,0
26.09,53.58,5.225,146.9,42.67,81.24,0,5,1
52.1,17.94,2.209,129.0,83.26,13.73,2,19,0
23.45,6.44,0.229,121.7,52.87,11.63,0,10,0
35.1,34.8,1.979,13.7,61.69,22.8,1,13,0
7.21,26.59,0.771,303.4,12.91,19.25,2,16,0
7.37,24.5,5.727,120.3,3.96,34.18,1,14,1
31.0,57.15,0.352,97.9,55.58,10.82,0,3,0
36.78,15.4,4.864,63.4,58.8,6.31,0,19,0
35.22,41.33,0.194,35.8,62.5,8.36,2,12,0
39.04,38.18,4.41,68.9,40.5,56.48,0,4,0
20.47,8.37,1.262,55.3,41.13,25.92,1,8,0
40.36,40.62,1.297,60.2,57.86,90.81,4,10,1
27.67,21.33,1.045,31.8,47.09,22.31,1,10,0
36.77,50.56,2.423,85.9,32.33,44.33,1,1,0
31.26,3.14,1.247,70.5,30.03,87.54,1,3,0
30.35,58.13,0.652,45.2,68.36,65.46,3,0,0
30.32,53.6,0.171,172.7,45.04,93.05,0,7,0
22.88,20.9,2.705,170.6,55.89,60.05,1,9,0
46.96,9.89,0.596,16.1,40.23,32.95,0,20,0
70.69,20.95,0.152,32.3,39.52,105.92,1,13,1
52.73,39.0,4.368,7.1,55.29,25.38,0,5,0
24.87,68.61,0.81,121.6,27.61,23.78,0,14,0
19.15,46.88,1.795,83.0,54.95,23.83,2,6,0
25.11,75.1,0.482,40.5,21.5,108.71,1,7,0
12.14,16.01,0.5,102.8,18.07,107.2,2,1,0
35.98,39.95,5.451,43.8,8.36,57.95,0,15,1
10.39,72.82,0.678,23.0,27.87,7.86,0,11,0
27.91,62.1,4.617,22.4,13.47,89.35,2,21,0
36.61,43.42,2.712,38.2,26.33,26.59,1,18,0
5.68,39.08,0.326,121.4,59.0,71.78,1,20,0
24.28,21.82,0.272,46.4,58.52,45.67,1,23,0
13.72,74.63,0.764,108.7,85.68,38.89,1,14,0
10.27,71.04,5.534,72.2,48.73,12.63,1,11,1
7.6,54.25,2.164,48.6,33.61,147.56,0,19,0
12.55,74.85,3.31,47.5,63.7,82.88,0,0,0
23.72,39.03,2.717,10.6,50.24,28.86,0,0,0
11.69,16.6,1.134,44.0,42.2,33.01,0,17,0
35.78,63.91,1.69,122.6,37.79,58.18,0,19,0
19.89,38.03,1.72,66.6,28.0,26.31,1,7,0
66.7,75.69,12.161,470.4,52.3,42.0,1,21,1
17.51,34.15,5.357,38.2,42.24,76.66,1,19,1
5.31,65.93,2.869,12.4,62.75,115.86,0,12,0
36.66,40.05,1.422,31.1,70.51,21.13,2,8,0
14.54,68.72,3.886,99.3,24.97,15.76,1,20,0
13.41,45.79,5.481,52.8,25.25,72.72,0,2,1
6.45,46.59,0.282,59.4,28.36,24.03,1,0,0
22.92,34.96,0.119,43.8,51.65,3.29,0,6,0
26.1,52.32,2.732,18.0,64.99,190.17,0,3,0
48.19,71.59,1.323,44.5,23.47,115.46,3,15,0
27.81,22.23,0.626,30.0,30.95,43.0,0,10,0
32.77,31.32,3.252,22.1,15.82,46.76,1,19,0
6.14,55.55,4.462,31.1,58.49,35.6,0,9,0
46.41,37.5,0.447,56.7,48.02,9.26,3,7,0
4.58,53.65,1.349,107.6,30.7,32.37,1,7,0
54.21,77.55,4.49,72.5,38.4,23.37,0,4,0
10.85,56.38,1.541,51.9,31.93,20.08,2,10,0
29.68,10.43,0.236,193.4,22.93,33.75,3,5,0
17.84,54.61,0.653,29.4,23.66,40.56,2,15,0
33.66,21.04,0.025,48.8,54.98,8.22,0,4,0
27.02,39.1,0.683,256.6,31.35,30.65,1,5,0
51.84,40.71,6.296,194.0,17.74,64.91,0,7,1
16.22,21.79,0.654,186.7,37.32,4.69,1,23,0
33.77,40.36,1.435,69.9,76.31,16.12,1,23,0
5.06,13.53,0.61,49.4,48.58,84.9,2,0,0
60.41,24.74,0.712,43.8,10.33,76.79,0,5,0
48.71,13.6,0.283,77.9,21.89,87.45,0,3,0
34.95,16.98,2.08,54.9,79.13,308.75,3,13,0
15.4,25.15,4.12,30.4,8.61,0.89,0,10,0
31.62,33.22,4.673,172.9,53.85,8.01,1,8,0
15.68,28.99,0.661,166.5,27.31,49.15,2,21,0
38.69,59.77,2.546,256.4,38.46,12.39,0,22,0
10.12,30.36,3.714,104.5,59.57,106.96,0,7,0
47.71,26.11,1.053,61.1,74.17,1.2,2,7,0
30.0,59.12,1.233,9.6,38.67,43.72,0,9,0
23.33,51.02,0.008,233.4,69.01,31.28,1,23,0
13.88,19.13,0.011,214.2,40.12,2.5,0,12,0
6.74,63.9,1.655,190.6,53.43,23.24,0,18,0
36.32,37.6,1.015,108.2,74.14,15.21,0,4,0
41.78,52.01,2.207,35.4,10.14,81.88,1,20,0
43.83,86.38,1.053,35.5,28.47,52.44,0,1,1
20.14,25.9,7.481,127.0,76.76,0.66,0,21,1
48.37,61.14,0.982,7.8,34.34,67.88,0,16,0
4.68,27.41,0.858,18.1,18.5,37.59,0,16,0
10.4,35.91,2.429,40.5,71.72,7.31,0,23,0
39.95,5.47,4.987,401.1,17.06,55.64,0,20,0
60.69,36.15,3.726,288.6,36.68,20.62,0,5,0
66.18,32.19,1.794,110.7,55.09,64.71,3,8,0
36.04,11.55,4.195,86.3,54.45,11.84,3,8,0
33.0,45.78,1.26,10.8,59.77,21.67,2,22,0
43.69,32.94,0.522,73.5,20.18,224.0,2,23,0
23.87,31.17,1.166,41.2,32.84,50.71,0,8,0
8.36,13.98,0.095,126.5,19.82,4.31,1,9,0
31.3,31.0,2.488,48.1,37.48,52.85,0,3,0
43.74,9.85,5.385,465.5,66.9,114.73,1,19,1
13.73,13.39,8.563,14.1,31.66,6.7,0,5,1
37.71,41.89,0.363,6.7,66.83,400.49,2,6,0
24.86,41.88,0.425,99.1,51.95,122.1,0,11,0
39.13,39.32,1.425,112.2,36.85,11.86,1,5,0
51.24,30.29,1.472,60.3,73.68,4.35,0,18,0
8.38,53.44,2.301,100.8,77.47,2.55,0,9,0
26.4,7.23,2.543,150.2,46.99,6.65,0,12,0
17.66,39.58,0.625,192.9,63.67,4.26,0,13,0
11.96,31.66,2.009,649.1,56.46,3.68,0,7,1
37.6,28.95,0.422,21.6,46.46,9.51,0,20,0
